class_code,subject_name,professor,classroom,day,period,level,number_of_credit,content_of_class,evaluation_system,class_url
GSSH303L,Social Design & Design Thinking for Urban Change　51,ディマ　クリスティアン,教室未定,金,3,中級科目,2,"Global environmental problems such as climate change, rapid loss of biodiversity and resource depletion have gained prominence on political agendas worldwide, while man-made infrastructure systems and cities have grown more complex and ever more vulnerable. Today’s pervasive, interrelated wicked problems differ significantly in scale and complexity from those of the past that could be addressed, for example, with incremental clean technologies and local policy responses. Today’s new socio-environmental problems require more substantive ‘transitions’ in the coming decades such as major changes in energy, transport, or agri-food systems. These system changes are ‘socio-technical’ because they not only entail new technologies, but also changes in markets, mindsets, user practices, policy and cultural meanings. The emergent domain of Transition Design acknowledges the fact that we live in ‘transitional times’ with permanent change now increasingly seen as ‘the new normal’. Accordingly, transition design takes as its central premise the need for perpetual, socio-envirionmental and socio-technical transitions to more sustainable futures and argues that design thinking has a key role to play in these transitions. It applies an understanding of the interconnectedness of social, economic, political & natural systems to address problems at all levels of spatio-temporal scale in ways that directly improve the quality of life and safeguard human-centred development. It advocates the re-conception of entire lifestyles, with the aim of making them more place-based, convivial & participatory and harmonising them with natural environment.","['試験:', 'レポート:', '70％', 'Mapping and analysis of one selected ‘wicked problem’ and brief sketch of 2 interventions that tackle it at various scales and leverage points. (15％)', 'Mid-term report: Elaboration of the initially outlined ‘wicked problem’ (20％）', 'Final report: Students develop their analysis further, based on the mid-term review and mid-term report. (35％)', '平常点評価:', '10％', 'Attendance and active participation', 'その他:', '20％', 'Mid-term student group presentation as intermediate project review for final report (20％)']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CM30400512018210CM3040021&pLng=jp
GSSH302L,Urban Studies,ディマ　クリスティアン,教室未定,水,4,上級科目,4,"The course examines how and why places, plans, and policies are created, shaped, and reshaped by market, bureaucratic, and political influences as well as technologies at a variety of spatial scales - ranging from the neighborhood and community level to the whole city and the region. At the same time the course discusses the different approaches and strategies that planning and governance professionals have been using to accomplish specific goals and objectives and how this in turn is informed by specific institutional, historical and spatial contexts. The course is thus designed to provide students with a broad survey of the history of planning and urban governance practice as well as a review of the central issues in planning and place-making theory. It focuses on the historical development of place-making ideas, the various roles planners and place-makers play in practice, and the ethical dilemmas they face. Emphasis is thus placed on making sense out of theory and practice of how cities are conceptualized, planned, managed, governed, lived-in, appropriated, or contested. Every lecture begins with an outline of larger social theories and then details their implications for the making of cities. We will explore the nature of planning practice and theory from four perspectives:  a) the specific activities associated with planning, place-making, and urban governance, b) the different, often competing perspectives of people who plan, control, manage, and make our cities; c) the relationship between state agencies, place-makers & civil society, and d) plans, policies & resulting urban spaces as artefacts. There are two classroom sessions every week, combined in one 3 hours block. Usually, there will be a lecture at the first session, while the second period is a freer seminar format to be used for student presentations and discussions.","['レポート:', '50％', 'Short research proposal (10％)', 'Annotated bibliography (10％)', 'Final project report (50％)', '平常点評価:', '10％', 'Active participation and regular attendance', 'その他:', '40％', '20％: Mid-term presentation', '20％: Final Presentation']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CM40500512018210CM4050021&pLng=jp
GSSH302L,Urban Studies,ディマ　クリスティアン,教室未定,水,5,上級科目,4,"The course examines how and why places, plans, and policies are created, shaped, and reshaped by market, bureaucratic, and political influences as well as technologies at a variety of spatial scales - ranging from the neighborhood and community level to the whole city and the region. At the same time the course discusses the different approaches and strategies that planning and governance professionals have been using to accomplish specific goals and objectives and how this in turn is informed by specific institutional, historical and spatial contexts. The course is thus designed to provide students with a broad survey of the history of planning and urban governance practice as well as a review of the central issues in planning and place-making theory. It focuses on the historical development of place-making ideas, the various roles planners and place-makers play in practice, and the ethical dilemmas they face. Emphasis is thus placed on making sense out of theory and practice of how cities are conceptualized, planned, managed, governed, lived-in, appropriated, or contested. Every lecture begins with an outline of larger social theories and then details their implications for the making of cities. We will explore the nature of planning practice and theory from four perspectives:  a) the specific activities associated with planning, place-making, and urban governance, b) the different, often competing perspectives of people who plan, control, manage, and make our cities; c) the relationship between state agencies, place-makers & civil society, and d) plans, policies & resulting urban spaces as artefacts. There are two classroom sessions every week, combined in one 3 hours block. Usually, there will be a lecture at the first session, while the second period is a freer seminar format to be used for student presentations and discussions.","['レポート:', '50％', 'Short research proposal (10％)', 'Annotated bibliography (10％)', 'Final project report (50％)', '平常点評価:', '10％', 'Active participation and regular attendance', 'その他:', '40％', '20％: Mid-term presentation', '20％: Final Presentation']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CM40500512018210CM4050021&pLng=jp
LANE102F,Intensive English (Reading)  A,ミューライゼン　ヴィクトリア　他,教室未定,水,3,英語I,1,"This course is designed to prepare students for academic readings by helping them read more strategically and efficiently. Students will learn and practice a series of reading skills (e.g. skimming, scanning, finding the main ideas) and learn ways to build larger vocabulary. Timed readings will also be done to help students improve their reading speed. Skills tasks will also be assigned to give students an opportunity to practice the reading skills outside of class.  *Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '40％', 'Final Examination (in Lesson 15)', 'Final Examination: Students will have a final examination to test their knowledge of the reading skills taught throughout the semester.', 'レポート:', '40％', 'Reading Skills Homework Tasks (4 times)', 'Reading skills assignments: Students are required to complete 4 tasks regarding the reading skills they learn throughout the semester.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10200512018210CO1020021&pLng=jp
LANE102F,Intensive English (Reading)  B,ミューライゼン　ヴィクトリア　他,教室未定,水,3,英語I,1,"This course is designed to prepare students for academic readings by helping them read more strategically and efficiently. Students will learn and practice a series of reading skills (e.g. skimming, scanning, finding the main ideas) and learn ways to build larger vocabulary. Timed readings will also be done to help students improve their reading speed. Skills tasks will also be assigned to give students an opportunity to practice the reading skills outside of class.  *Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '40％', 'Final Examination (in Lesson 15)', 'Final Examination: Students will have a final examination to test their knowledge of the reading skills taught throughout the semester.', 'レポート:', '40％', 'Reading Skills Homework Tasks (4 times)', 'Reading skills assignments: Students are required to complete 4 tasks regarding the reading skills they learn throughout the semester.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10200522018210CO1020021&pLng=jp
LANE102F,Intensive English (Reading)  C,ミューライゼン　ヴィクトリア　他,教室未定,水,4,英語I,1,"This course is designed to prepare students for academic readings by helping them read more strategically and efficiently. Students will learn and practice a series of reading skills (e.g. skimming, scanning, finding the main ideas) and learn ways to build larger vocabulary. Timed readings will also be done to help students improve their reading speed. Skills tasks will also be assigned to give students an opportunity to practice the reading skills outside of class.  *Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '40％', 'Final Examination (in Lesson 15)', 'Final Examination: Students will have a final examination to test their knowledge of the reading skills taught throughout the semester.', 'レポート:', '40％', 'Reading Skills Homework Tasks (4 times)', 'Reading skills assignments: Students are required to complete 4 tasks regarding the reading skills they learn throughout the semester.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10200532018210CO1020021&pLng=jp
LANE102F,Intensive English (Reading)  D,ミューライゼン　ヴィクトリア　他,教室未定,水,4,英語I,1,"This course emphasizes the use of critical thinking skills when reading English texts. Students will analyze, synthesize and evaluate articles on academic and ethical issues. The articles are from publications such as magazines and newspapers and are in their original form.The goal of this course is for students to develop the habit of analyzing the information presented in readings, synthesizing this information with their own knowledge of the topic, and evaluating the strength of the logic and evidence intended to support the writer’s main ideas.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '30％', 'Final Examination (in lesson 14)', 'Final Examination: Students will have a final examination in lesson 14.', 'レポート:', '50％', 'Journals (5 times)', 'Journals: Students are to write journals on the readings from the class. These will be collected and assessed 5 times each during the semester.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10200552018210CO1020021&pLng=jp
LANE102F,Intensive English (Reading)  E,ミューライゼン　ヴィクトリア　他,教室未定,水,5,英語I,1,"This course emphasizes the use of critical thinking skills when reading English texts. Students will analyze, synthesize and evaluate articles on academic and ethical issues. The articles are from publications such as magazines and newspapers and are in their original form.The goal of this course is for students to develop the habit of analyzing the information presented in readings, synthesizing this information with their own knowledge of the topic, and evaluating the strength of the logic and evidence intended to support the writer’s main ideas.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '30％', 'Final Examination (in lesson 14)', 'Final Examination: Students will have a final examination in lesson 14.', 'レポート:', '50％', 'Journals (5 times)', 'Journals: Students are to write journals on the readings from the class. These will be collected and assessed 5 times each during the semester.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10200562018210CO1020021&pLng=jp
LANE102F,Intensive English (Reading)  F,ミューライゼン　ヴィクトリア　他,教室未定,水,5,英語I,1,"This course emphasizes the use of critical thinking skills when reading English texts. Students will analyze, synthesize and evaluate articles on academic and ethical issues. The articles are from publications such as magazines and newspapers and are in their original form.The goal of this course is for students to develop the habit of analyzing the information presented in readings, synthesizing this information with their own knowledge of the topic, and evaluating the strength of the logic and evidence intended to support the writer’s main ideas.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '30％', 'Final Examination (in lesson 14)', 'Final Examination: Students will have a final examination in lesson 14.', 'レポート:', '50％', 'Journals (5 times)', 'Journals: Students are to write journals on the readings from the class. These will be collected and assessed 5 times each during the semester.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10200572018210CO1020021&pLng=jp
LANE102F,Intensive English (Reading)  G,ミューライゼン　ヴィクトリア　他,教室未定,土,3,英語I,1,"This course emphasizes the use of critical thinking skills when reading English texts. Students will analyze, synthesize and evaluate articles on academic and ethical issues. The articles are from publications such as magazines and newspapers and are in their original form.The goal of this course is for students to develop the habit of analyzing the information presented in readings, synthesizing this information with their own knowledge of the topic, and evaluating the strength of the logic and evidence intended to support the writer’s main ideas.*Students will be assigned to a class based on the result of the TOEFL-ITP test for English placement which is taken before the start of their first semester at SILS.","['試験:', '30％', 'Final Examination (in lesson 14)', 'Final Examination: Students will have a final examination in lesson 14.', 'レポート:', '50％', 'Journals (5 times)', 'Journals: Students are to write journals on the readings from the class. These will be collected and assessed 5 times each during the semester.', '平常点評価:', '20％', 'Participation', 'Participation: Students must attend a minimum of 10 lessons in order to pass the course.', '備考・関連URL', '・This course is taught by assigned instructors on the basis of advice from the academic coordinators.・The operation of this course is entrusted to Waseda University Academic Solutions Corporation by School of International Liberal Studies, Waseda University.']",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=210CO10200582018210CO1020021&pLng=jp
